route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
224,SatSunReg,2421__261003_Timetable_-_2025-02,Taunton,0,261003_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
917,Weekday,2422__201049_Timetable_-_2025-02,B - Ajax Station,0,201049_Timetable_-_2025-02,100.0.1952648908_Timetable_-_2025-02,Eastbound,1
916,SatSun,2423__261019_Timetable_-_2025-02,Pickering Parkway Terminal,1,261019_Timetable_-_2025-02,100.0.1952648509161_Timetable_-_2025-02,Westbound,1
224,SatSunReg,2425__261006_Timetable_-_2025-02,Taunton,0,261006_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
916,SatSun,2426__261012_Timetable_-_2025-02,Pickering Parkway Terminal,1,261012_Timetable_-_2025-02,100.0.1952648509161_Timetable_-_2025-02,Westbound,1
916,Overnight,2427__291003_Timetable_-_2025-02,Pickering Parkway Terminal,1,291003_Timetable_-_2025-02,100.0.2242008464_Timetable_-_2025-02,Westbound,1
216,SatSun,2428__261005_Timetable_-_2025-02,Taunton,0,261005_Timetable_-_2025-02,100.0.1952647071_Timetable_-_2025-02,Northbound,1
411,SatSun,2429__461018_Timetable_-_2025-02,B - Raleigh,0,461018_Timetable_-_2025-02,100.0.1952650523_Timetable_-_2025-02,Eastbound,1
407,Weekday,242__401017_Timetable_-_2025-02,C - Harmony,0,401017_Timetable_-_2025-02,100.0.1046829531_Timetable_-_2025-02,Northbound,1
916,SatSun,2431__261016_Timetable_-_2025-02,Pickering Parkway Terminal,1,261016_Timetable_-_2025-02,100.0.1952648509161_Timetable_-_2025-02,Westbound,1
917,SatSunReg,2433__261007_Timetable_-_2025-02,Oshawa Centre Terminal,0,261007_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
216,SatSun,2434__261005_Timetable_-_2025-02,Taunton,0,261005_Timetable_-_2025-02,100.0.1952647071_Timetable_-_2025-02,Northbound,1
916,SatSun,2435__261009_Timetable_-_2025-02,Pickering Parkway Terminal,1,261009_Timetable_-_2025-02,100.0.1952648509161_Timetable_-_2025-02,Westbound,1
216,SatSun,2437__261005_Timetable_-_2025-02,Taunton,0,261005_Timetable_-_2025-02,100.0.1952647071_Timetable_-_2025-02,Northbound,1
216,SatSun,2439__261005_Timetable_-_2025-02,Taunton,0,261005_Timetable_-_2025-02,100.0.1952647071_Timetable_-_2025-02,Northbound,1
407,Weekday,243__401023_Timetable_-_2025-02,A - Raleigh,1,401023_Timetable_-_2025-02,100.0.1046829532_Timetable_-_2025-02,Southbound,1
224,Weekday,2440__201074_Timetable_-_2025-02,Taunton,0,201074_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
917,SatSunReg,2442__261002_Timetable_-_2025-02,Pickering Parkway Terminal,1,261002_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
224,Weekday,2443__201017_Timetable_-_2025-02,Ajax Station,1,201017_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
411,SatSun,2444__461021_Timetable_-_2025-02,Oshawa Centre Terminal,1,461021_Timetable_-_2025-02,100.0.1952650521_Timetable_-_2025-02,Westbound,1
916,SatSun,2445__261009_Timetable_-_2025-02,Conlin,0,261009_Timetable_-_2025-02,100.0.195264850916_Timetable_-_2025-02,Eastbound,1
224,SatSunReg,2446__261005_Timetable_-_2025-02,Ajax Station,1,261005_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
224,SatSunReg,2447__261005_Timetable_-_2025-02,Ajax Station,1,261005_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
224,SatSunReg,2448__261005_Timetable_-_2025-02,Ajax Station,1,261005_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
917,SatSunReg,2449__261007_Timetable_-_2025-02,Pickering Parkway Terminal,1,261007_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
407,Weekday,244__401012_Timetable_-_2025-02,Raleigh,1,401012_Timetable_-_2025-02,100.0.1952647814_Timetable_-_2025-02,Southbound,1
917,Weekday,2451__201048_Timetable_-_2025-02,Pickering Parkway Terminal,1,201048_Timetable_-_2025-02,100.0.1952648901_Timetable_-_2025-02,Westbound,1
502,SatSun,2452__461027_Timetable_-_2025-02,Clarington Boulevard,1,461027_Timetable_-_2025-02,100.0.1952652001_Timetable_-_2025-02,Westbound,1
216,SatSun,2453__261006_Timetable_-_2025-02,Ajax Station,1,261006_Timetable_-_2025-02,100.0.1952647072_Timetable_-_2025-02,Southbound,1
224,Weekday,2454__201017_Timetable_-_2025-02,Ajax Station,1,201017_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
411,SatSun,2455__461018_Timetable_-_2025-02,Courtice,0,461018_Timetable_-_2025-02,100.0.1952650522_Timetable_-_2025-02,Eastbound,1
224,SatSunReg,2457__261006_Timetable_-_2025-02,Taunton,0,261006_Timetable_-_2025-02,100.0.1952649895_Timetable_-_2025-02,Northbound,1
224,Weekday,2458__201080_Timetable_-_2025-02,Ajax Station,1,201080_Timetable_-_2025-02,100.0.1952649892_Timetable_-_2025-02,Southbound,1
917,Weekday,2459__201052_Timetable_-_2025-02,Oshawa Centre Terminal,0,201052_Timetable_-_2025-02,100.0.1952648902_Timetable_-_2025-02,Eastbound,1
407,Weekday,245__401023_Timetable_-_2025-02,Harmony,0,401023_Timetable_-_2025-02,100.0.1952647813_Timetable_-_2025-02,Northbound,1
